service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,reliability_percentage
2023-08-16,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,66.27906976744185
2023-08-16,553,553,Express Bus,Other Bus,Bus,PEAK,44.73684210526316
2023-08-15,553,553,Express Bus,Other Bus,Bus,PEAK,57.57575757575758
2023-08-14,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.275862068965516
2023-08-15,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,54.11764705882353
2023-08-12,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,70.6896551724138
2023-08-14,553,553,Express Bus,Other Bus,Bus,PEAK,55.55555555555556
2023-08-11,553,553,Express Bus,Other Bus,Bus,PEAK,60.0
2023-08-11,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.172413793103445
2023-08-10,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,57.30337078651685
2023-08-10,553,553,Express Bus,Other Bus,Bus,PEAK,41.66666666666667
2023-08-09,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.717948717948715
2023-08-08,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.4054054054054
2023-08-09,553,553,Express Bus,Other Bus,Bus,PEAK,44.44444444444444
2023-08-08,553,553,Express Bus,Other Bus,Bus,PEAK,57.14285714285714
2023-08-07,553,553,Express Bus,Other Bus,Bus,PEAK,60.60606060606061
2023-08-07,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,75.0
2023-08-05,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,46.774193548387096
2023-08-04,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.620689655172406
2023-08-04,553,553,Express Bus,Other Bus,Bus,PEAK,60.526315789473685
2023-08-03,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.81818181818182
2023-08-02,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,57.14285714285714
2023-08-03,553,553,Express Bus,Other Bus,Bus,PEAK,44.44444444444444
2023-08-02,553,553,Express Bus,Other Bus,Bus,PEAK,50.0
2023-08-01,553,553,Express Bus,Other Bus,Bus,PEAK,53.84615384615385
2023-08-01,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,42.10526315789473
2023-07-31,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.76923076923077
2023-07-31,553,553,Express Bus,Other Bus,Bus,PEAK,68.57142857142857
2023-07-29,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,84.12698412698413
2023-07-28,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.97674418604651
2023-07-28,553,553,Express Bus,Other Bus,Bus,PEAK,63.1578947368421
2023-07-27,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,61.79775280898876
2023-07-25,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,41.17647058823529
2023-07-27,553,553,Express Bus,Other Bus,Bus,PEAK,38.88888888888889
2023-07-25,553,553,Express Bus,Other Bus,Bus,PEAK,37.83783783783784
2023-07-24,553,553,Express Bus,Other Bus,Bus,PEAK,29.629629629629626
2023-07-24,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.81395348837209
2023-07-22,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,74.6268656716418
